nr S.	scalenie	znaczenie 1	znaczenie 2	znaczenie 3	POCHODZENIE	CZĘSTOŚĆ WYSTĄPIEŃ	WYSTĄPIENIA
G2638	G2638 καταλαμβάνω [katalambanō]; czasownik						
G2639	G2639 καταλέγω [katalegō]; czasownik						
G2640	G2640 κατάλειμμα [hypoleimma]; rzeczownik						
G2641	G2641 καταλείπω [kataleipō]; czasownik						
G2642	G2642 καταλιθάζω [katalithadzō]; czasownik						
G2643	G2643 καταλλαγή [katallagē]; rzeczownik						
G2644	G2644 καταλλάσσω [katallassō]; czasownik						
G2645	G2645 κατάλοιπος [kataloipos]; przymiotnik						
G2646	G2646 κατάλυμα [katalyma]; rzeczownik						
G2647	G2647 καταλύω [katalyō]; czasownik						
G2648	G2648 καταμανθάνω [katamanthanō]; czasownik						
G2649	G2649 καταμαρτυρέω [katamartyreō]; czasownik						
G2650	G2650 καταμένω [katamenō]; czasownik						
G2651	G2651 καταμόνας [katamonas]; przysłówek						
G2652	G2652 κατανάθεμα [katathema]; rzeczownik						
G2653	G2653 καταναθεματίζω [katathematidzō]; czasownik						
G2654	G2654 καταναλίσκω [katanaliskō]; czasownik						
G2655	G2655 καταναρκάω [katanarkaō]; czasownik						
G2656	G2656 κατανεύω [kataneuō]; czasownik						
G2657	G2657 κατανοέω [katanoeō]; czasownik						
G2658	G2658 καταντάω [katantaō]; czasownik						
G2659	G2659 κατάνυξις [katanyxis]; rzeczownik						
G2660	G2660 κατανύσσω [katanyssomai]; czasownik						
G2661	G2661 καταξιόω [kataxioō]; czasownik						
G2662	G2662 καταπατέω [katapateō]; czasownik						
G2663	G2663 κατάπαυσις [katapausis]; rzeczownik						
G2664	G2664 καταπαύω [katapauō]; czasownik						
G2665	G2665 καταπέτασμα [katapetasma]; rzeczownik						
G2666	G2666 καταπίνω [katapinō]; czasownik						
G2667	G2667 καταπίπτω [katapiptō]; czasownik						
G2668	G2668 καταπλέω [katapleō]; czasownik						
G2669	G2669 καταπονέω [kataponeō]; czasownik						
G2670	G2670 καταποντίζω [katapontidzō]; czasownik						
G2671	G2671 κατάρα [katara]; rzeczownik						
G2672	G2672 καταράομαι [kataraomai]; czasownik						
G2673	G2673 καταργέω [katargeō]; czasownik						
G2674	G2674 καταριθμέω [katarithmeō]; czasownik						
G2675	G2675 καταρτίζω [katartidzō]; czasownik						
G2676	G2676 κατάρτισις [katartisis]; rzeczownik						
G2677	G2677 καταρτισμός [katartismos]; rzeczownik						
G2678	G2678 κατασείω [kataseiō]; czasownik						
G2679	G2679 κατασκάπτω [kataskaptō]; czasownik						
G2680	G2680 κατασκευάζω [kataskeuadzō]; czasownik						
G2681	G2681 κατασκηνόω [kataskēnoō]; czasownik						
G2682	G2682 κατασκήνωσις [kataskēnōsis]; rzeczownik						
G2683	G2683 κατασκιάζω [kataskiadzō]; czasownik						
G2684	G2684 κατασκοπέω [kataskopeō]; czasownik						
G2685	G2685 κατάσκοπος [kataskopos]; rzeczownik						
G2686	G2686 κατασοφίζομαι [katasofidzomai]; czasownik						
G2687	G2687 καταστέλλω [katastellō]; czasownik						
G2688	G2688 κατάστημα [katastēma]; rzeczownik						
G2689	G2689 καταστολή [katastolē]; rzeczownik						
G2690	G2690 καταστρέφω [katastrefō]; czasownik						
G2691	G2691 καταστρηνιάω [katastrēniaō]; czasownik						
G2692	G2692 καταστροφή [katastrofē]; rzeczownik						
G2693	G2693 καταστρώννυμι [katastrōnnymi]; czasownik						
G2694	G2694 κατασύρω [katasyrō]; czasownik						
G2695	G2695 κατασφάττω [katasfadzō]; czasownik						
G2696	G2696 κατασφραγίζω [katasfragidzō]; czasownik						
G2697	G2697 κατάσχεσις [kataschesis]; rzeczownik						
G2698	G2698 κατατίθημι [katatithēmi]; czasownik						
G2699	G2699 κατατομή [katatomē]; rzeczownik						
G2700	G2700 κατατοξεύω [katatoxeuō]; czasownik						
G2701	G2701 κατατρέχω [katatrechō]; czasownik						
G2702	G2702 καταφέρω [kataferō]; czasownik						
G2703	G2703 καταφεύγω [katafeugō]; czasownik						
G2704	G2704 καταφθείρω [kataftheirō]; czasownik						
G2705	G2705 καταφιλέω [katafileō]; czasownik						
G2706	G2706 καταφρονέω [katafroneō]; czasownik						
G2707	G2707 καταφροντής [katafronētēs]; rzeczownik						
G2708	G2708 καταχέω [katacheō]; czasownik						
G2709	G2709 καταχθόνιος [katachthonios]; przymiotnik						
G2710	G2710 καταχράομαι [katachraomai]; czasownik						
G2711	G2711 καταψύχω [katapsychō]; czasownik						
G2712	G2712 κατείδωλος [kateidōlos]; przymiotnik						
G2713	G2713 κατέναντι [katenanti]; przysłówek						
G2714	G2714 κατενώπιον [katenōpion]; przyimek						
G2715	G2715 κατεξουσιάζω [katexusiadzō]; czasownik						
G2716	G2716 κατεργάζομαι [katergadzomai]; czasownik						
G2718	G2718 κατέρχομαι [katerchomai]; czasownik						
G2719	G2719 κατεσθίω [katesthiō]; czasownik						
G2720	G2720 κατευθύνω [kateuthynō]; czasownik						
G2721	G2721 κατεφίστημι [katefistamai]; czasownik						
G2722	G2722 κατέχω [katechō]; czasownik						
G2723	G2723 κατηγορέω [katēgoreō]; czasownik						
G2724	G2724 κατηγορία [katēgoria]; rzeczownik						
G2725	G2725 κατήγορος [katēgoros]; rzeczownik						
G2726	G2726 κατήφεια [katēfeia]; rzeczownik						
G2727	G2727 κατηχέω [katēcheō]; czasownik						
G2728	G2728 κατιόω [katioō]; czasownik						
G2729	G2729 κατισχύω [katischyō]; czasownik						
G2730	G2730 κατοικέω [katoikeō]; czasownik						
G2731	G2731 κατοίκησις [katoikēsis]; rzeczownik						
G2732	G2732 κατοικητήριον [katoikētērion]; rzeczownik						
G2733	G2733 κατοικία [katoikia]; rzeczownik						
G2734	G2734 κατοπτρίζομαι [katoptridzō]; czasownik						
G2735	G2735 κατόρθωμα [diorthōma]; rzeczownik						
G2736	G2736 κάτω [katō]; przysłówek						
G2737	G2737 κατώτερος [katōteros]; przymiotnik						
G2738	G2738 καῦμα [kauma]; rzeczownik						
G2739	G2739 καυματίζω [kaumatidzō]; czasownik						
G2740	G2740 καῦσις [kausis]; rzeczownik						
G2741	G2741 καυσόω [kausoō]; czasownik						
G2742	G2742 καύσων [kausōn]; rzeczownik						
G2743	G2743 καυτηριάζω [kaustēriadzō]; czasownik						
G2744	G2744 καυχάομαι [kauchaomai]; czasownik						
G2745	G2745 καύχημα [kauchēma]; rzeczownik						
G2746	G2746 καύχησις [kauchēsis]; rzeczownik						
G2747	G2747 Κεγχρεαί [Kegchreai]; rzeczownik						
G2748	G2748 Κεδρών [Kedrōn]; rzeczownik						
G2749	G2749 κεῖμαι [keimai]; czasownik						
G2750	G2750 κειρία [keiria]; rzeczownik						
G2751	G2751 κείρω [keirō]; czasownik						
G2752	G2752 κέλευμα [keleusma]; rzeczownik						
G2753	G2753 κελεύω [keleuō]; czasownik						
G2754	G2754 κενοδοξία [kenodoxia]; rzeczownik						
G2755	G2755 κενόδοξος [kenodoxos]; przymiotnik						
G2756	G2756 κενός [kenos]; przymiotnik						
G2757	G2757 κενοφωνία [kenofōnia]; rzeczownik						
G2758	G2758 κενόω [kenoō]; czasownik						
G2759	G2759 κέντρον [kentron]; rzeczownik						
G2760	G2760 κεντυρίων [kentyriōn]; rzeczownik						
G2761	G2761 κενῶς [kenōs]; przysłówek						
G2762	G2762 κεραία [keraia]; rzeczownik						
G2763	G2763 κεραμεύς [kerameus]; rzeczownik						
G2764	G2764 κεραμικός [keramikos]; przymiotnik						
G2765	G2765 κεράμιον [keramion]; rzeczownik						
G2766	G2766 κέραμος [keramos]; rzeczownik						
G2767	G2767 κεράννυμι [kerannymi]; czasownik						
G2768	G2768 κέρας [keras]; rzeczownik						
G2769	G2769 κεράτιον [keration]; rzeczownik						
G2770	G2770 κερδαίνω [kerdainō]; czasownik						
G2771	G2771 κέρδος [kerdos]; rzeczownik						
G2772	G2772 κέρμα [kerma]; rzeczownik						
G2773	G2773 κερματιστής [kermatistēs]; rzeczownik						
G2774	G2774 κεφάλαιον [kefalaion]; rzeczownik						
G2775	G2775 κεφαλαιόω [kefalioō]; czasownik						
G2776	G2776 κεφαλή [kefalē]; rzeczownik						
G2777	G2777 κεφαλίς [kefalis]; rzeczownik						
G2778	G2778 κῆνσος [kēnsos]; rzeczownik						
G2779	G2779 κῆπος [kēpos]; rzeczownik						
G2780	G2780 κηπουρός [kēpuros]; rzeczownik						
G2781	G2781 κηρίον [kērion]; rzeczownik						
G2782	G2782 κήρυγμα [kērygma]; rzeczownik						
G2783	G2783 κήρυξ [kēryx]; rzeczownik						
G2784	G2784 κηρύσσω [kēryssō]; czasownik						
G2785	G2785 κήτος [kētos]; rzeczownik						
G2786	G2786 Κηφᾶς [Kēfas]; rzeczownik						
G2787	G2787 κιβωτός [kibōtos]; rzeczownik						
G2788	G2788 κιθάρα [kithara]; rzeczownik						
G2789	G2789 κιθαρίζω [kitharidzō]; czasownik						
G2790	G2790 κιθαρῳδός [kitharōdos]; rzeczownik						
G2791	G2791 Κιλικία [Kilikia]; rzeczownik						
G2792	G2792 κινάμωμον [kinnamōmon]; rzeczownik						
G2793	G2793 κινδυνεύω [kindyneuō]; czasownik						
G2794	G2794 κίνδυνος [kindynos]; rzeczownik						
G2795	G2795 κινέω [kineō]; czasownik						
G2796	G2796 κίνησις [kinēsis]; rzeczownik						
G2797	G2797 Κίς [Kis]; rzeczownik						
G2798	G2798 κλάδος [klados]; rzeczownik						
G2799	G2799 κλαίω [klaiō]; czasownik						
G2800	G2800 κλάσις [klasis]; rzeczownik						
G2801	G2801 κλάσμα [klasma]; rzeczownik						
G2802	G2802 Κλαύδη [Kauda]; rzeczownik						
G2803	G2803 Κλαυδία [Klaudia]; rzeczownik						
G2804	G2804 Κλαύδιος [Klaudios]; rzeczownik						
G2805	G2805 κλαυθμός [klauthmos]; rzeczownik						
G2806	G2806 κλάω [klaō]; czasownik						
G2807	G2807 κλείς [kleis]; rzeczownik						
G2808	G2808 κλείω [kleiō]; czasownik						
G2809	G2809 κλέμμα [klemma]; rzeczownik						
G2810	G2810 Κλεόπας [Kleopas]; rzeczownik						
G2811	G2811 κλέος [kleos]; rzeczownik						
G2812	G2812 κλέπτης [kleptēs]; rzeczownik						
G2813	G2813 κλέπτω [kleptō]; czasownik						
G2814	G2814 κλῆμα [klēma]; rzeczownik						
G2815	G2815 Κλήμης [Klēmēs]; rzeczownik						
G2816	G2816 κληρονομέω [klēronomeō]; czasownik						
G2817	G2817 κληρονομία [klēronomia]; rzeczownik						
G2818	G2818 κληρονόμος [klēronomos]; rzeczownik						
G2819	G2819 κλῆρος [klēros]; rzeczownik						
G2820	G2820 κληρόω [klēroō]; czasownik						
G2821	G2821 κλῆσις [klēsis]; rzeczownik						
G2822	G2822 κλητός [klētos]; przymiotnik						
G2823	G2823 κλίβανος [klibanos]; rzeczownik						
G2824	G2824 κλίμα [klima]; rzeczownik						
G2825	G2825 κλίνη [klinē]; rzeczownik						
G2826	G2826 κλινίδιον [klinidion]; rzeczownik						
G2827	G2827 κλίνω [klinō]; czasownik						
G2828	G2828 κλισία [klisia]; rzeczownik						
G2829	G2829 κλοπή [klopē]; rzeczownik						
G2830	G2830 κλύδων [klydōn]; rzeczownik						
G2831	G2831 κλυδωνίζομαι [klydōnidzomai]; czasownik						
G2832	G2832 Κλωπᾶς [Klōpas]; rzeczownik						
G2833	G2833 κνήθω [knēthō]; czasownik						
G2834	G2834 Κνίδος [Knidos]; rzeczownik						
G2835	G2835 κοδράντης [kodrantēs]; rzeczownik						
G2836	G2836 κοιλία [koilia]; rzeczownik						
G2837	G2837 κοιμάω [koimaō]; czasownik						
G2838	G2838 κοίμησις [koimēsis]; rzeczownik						
G2839	G2839 κοινός [koinos]; przymiotnik						
G2840	G2840 κοινόω [koinoō]; czasownik						
G2841	G2841 κοινωνέω [koinōneō]; czasownik						
G2842	G2842 κοινωνία [koinōnia]; rzeczownik						
G2843	G2843 κοινωνικός [koinōnikos]; przymiotnik						
G2844	G2844 κοινωνός [koinōnos]; rzeczownik						
G2845	G2845 κοίτη [koitē]; rzeczownik						
G2846	G2846 κοιτών [koitōn]; rzeczownik						
G2847	G2847 κόκκινος [kokkinos]; przymiotnik						
G2848	G2848 κόκκος [kokkos]; rzeczownik						
G2849	G2849 κολάζω [koladzō]; czasownik						
G2850	G2850 κολακεία [kolakeia]; rzeczownik						
G2851	G2851 κόλασις [kolasis]; rzeczownik						
G2852	G2852 κολαφίζω [kolafidzō]; czasownik						
G2853	G2853 κολλάω [kollaō]; czasownik						
G2854	G2854 κολλούριον [kollurion]; rzeczownik						
G2855	G2855 κολλυβιστής [kollybistēs]; rzeczownik						
G2856	G2856 κολοβόω [koloboō]; czasownik						
G2857	G2857 Κολοσσαί [Kolossai]; rzeczownik						
G2858	G2858 Κολοσσαεύς [kolassaeus]; rzeczownik						
G2859	G2859 κόλπος [kolpos]; rzeczownik						
G2860	G2860 κολυμβάω [kolymbaō]; czasownik						
G2861	G2861 κολυμβήθρα [kolymbēthra]; rzeczownik						
G2862	G2862 κολωνία [kolōnia]; rzeczownik						
G2863	G2863 κομάω [komaō]; czasownik						
G2864	G2864 κόμη [komē]; rzeczownik						
G2865	G2865 κομίζω [komidzō]; czasownik						
G2866	G2866 κομψότερον [kompsoteron]; przysłówek						
G2867	G2867 κονιάω [koniaō]; czasownik						
G2868	G2868 κονιορτός [koniortos]; rzeczownik						
G2869	G2869 κοπάζω [kopadzō]; czasownik						
G2870	G2870 κοπετός [kopetos]; rzeczownik						
G2871	G2871 κοπή [kopē]; rzeczownik						
G2872	G2872 κοπιάω [kopiaō]; czasownik						
G2873	G2873 κόπος [kopos]; rzeczownik						
G2874	G2874 κοπρία [kopria]; rzeczownik						
G2875	G2875 κόπτω [koptō]; czasownik						
G2876	G2876 κόραξ [korax]; rzeczownik						
G2877	G2877 κοράσιον [korasion]; rzeczownik						
G2878	G2878 κορβάν [korban]; rzeczownik						
G2879	G2879 Κορέ [Kore]; rzeczownik						
G2880	G2880 κορέννυμι [korennymi]; czasownik						
G2881	G2881 Κορίνθιος [Korinthios]; przymiotnik						
G2882	G2882 Κόρινθος [Korinthos]; rzeczownik						
G2883	G2883 Κορνήλιος [Kornēlios]; rzeczownik						
G2884	G2884 κόρος [koros]; rzeczownik						
G2885	G2885 κοσμέω [kosmeō]; czasownik						
G2886	G2886 κοσμικός [kosmikos]; przymiotnik						
G2887	G2887 κόσμιος [kosmios]; przymiotnik						
G2888	G2888 κοσμοκράτωρ [kosmokratōr]; rzeczownik						
G2889	G2889 κόσμος [kosmos]; rzeczownik						
G2890	G2890 Κούαρτος [Kuartos]; rzeczownik						
G2891	G2891 κοῦμι [kum]; transliteracja słowa aram.						
G2892	G2892 κουστωδία [kustōdia]; rzeczownik						
G2893	G2893 κουφίζω [kufidzō]; czasownik						
G2894	G2894 κόφινος [kofinos]; rzeczownik						
G2895	G2895 κράββατος [krabattos]; rzeczownik						
G2896	G2896 κράζω [kradzō]; czasownik						
G2897	G2897 κραιπάλη [kraipalē]; rzeczownik						
G2898	G2898 κρανίον [kranion]; rzeczownik						
G2899	G2899 κράσπεδον [kraspedon]; rzeczownik						
G2900	G2900 κραταιός [krataios]; przymiotnik						
G2901	G2901 κραταιόω [krataioō]; czasownik						
G2902	G2902 κρατέω [krateō]; czasownik						
G2903	G2903 κράτιστος [kratistos]; przymiotnik						
G2904	G2904 κράτος [kratos]; rzeczownik						
G2905	G2905 κραυγάζω [kraugadzō]; czasownik						
G2906	G2906 κραυγή [kraugē]; rzeczownik						
G2907	G2907 κρέας [kreas]; rzeczownik						
G2908	G2908 κρεῖσσον [kreisson]; przymiotnik						
G2909	G2909 κρείττων [kreittōn]; przymiotnik						
G2910	G2910 κρεμάννυμι [kremannymi]; czasownik						
G2911	G2911 κρημνός [krēmnos]; rzeczownik						
G2912	G2912 Κρής [Krēs]; rzeczownik						
G2913	G2913 Κρήσκης [Krēskēs]; rzeczownik						
G2914	G2914 Κρήτη [Krētē]; rzeczownik						
G2915	G2915 κριθή [krithē]; rzeczownik						
G2916	G2916 κρίθινος [krithinos]; przymiotnik						
G2917	G2917 κρίμα [krima]; rzeczownik						
G2918	G2918 κρίνον [krinon]; rzeczownik						
G2919	G2919 κρίνω [krinō]; czasownik						
G2920	G2920 κρίσις [krisis]; rzeczownik						
G2921	G2921 Κρίσπος [Krispos]; rzeczownik						
G2922	G2922 κριτήριον [kritērion]; rzeczownik						
G2923	G2923 κριτής [kritēs]; rzeczownik						
G2924	G2924 κριτικός [kritikos]; przymiotnik						
G2925	G2925 κρούω [kruō]; czasownik						
G2926	G2926 κρυπτή [kryptē]; rzeczownik						
G2927	G2927 κρυπτός [kryptos]; przymiotnik						
G2928	G2928 κρύπτω [kryptō]; czasownik						
G2929	G2929 κρυσταλλίζω [krystallidzō]; czasownik						
G2930	G2930 κρύσταλλος [krystallos]; rzeczownik						
G2931	G2931 κρυφῆ [kryfē]; przysłówek						
G2932	G2932 κτάομαι [ktaomai]; czasownik						
G2933	G2933 κτῆμα [ktēma]; rzeczownik						
G2934	G2934 κτῆνος [ktēnos]; rzeczownik						
G2935	G2935 κτήτωρ [ktētōr]; rzeczownik						
G2936	G2936 κτίζω [ktidzō]; czasownik						
G2937	G2937 κτίσις [ktisis]; rzeczownik						
G2938	G2938 κτίσμα [ktisma]; rzeczownik						
G2939	G2939 κτιστής [ktistēs]; rzeczownik						
G2940	G2940 κυβεία [kybeia]; rzeczownik						
G2941	G2941 κυβέρνησις [kybernēsis]; rzeczownik						
G2942	G2942 κυβερνήτης [kybernētēs]; rzeczownik						
G2943	G2943 κυκλόθεν [kyklothen]; przysłówek						
G2944	G2944 κυκλόω [kykloō]; czasownik						
G2945	G2945 κύκλῳ [kyklō]; rzeczownik						
G2946	G2946 κύλισμα [kylismos]; rzeczownik						
G2947	G2947 κυλιόω [kyliō]; czasownik						
G2948	G2948 κυλλός [kyllos]; przymiotnik						
G2949	G2949 κύμα [kyma]; rzeczownik						
G2950	G2950 κύμβαλον [kymbalon]; rzeczownik						
G2951	G2951 κύμινον [kyminon]; rzeczownik						
G2952	G2952 κυνάριον [kynarion]; rzeczownik						
